product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
Red Bull Energy Drink 250ml,35141.799999999996,1758.0,439.5,1216,90491531.90000007,92.0728051905516,341,B
Garlic Polony 6 x 1kg,34946.71,192.0,1152.0,82,90526478.61000006,92.10836256873188,342,B
Chicken Polony 4 x 2 Kg,34529.84,119.0,952.0,35,90561008.45000006,92.143495792414,343,B
Sliced Chicken Polony 180g,34512.19,2437.0,457.43,1031,90595520.64000006,92.17861105767528,344,B
Eskort Sweet Chilli Biltong 50g,34310.14,1808.0,90.4,1005,90629830.78000006,92.21352074226071,345,B
Switch - Dry Lemon 500ml,34140.86,3060.0,1530.0,1350,90663971.64000006,92.24825818880203,346,B
Jimmy's Sauces Steakhouse 750ml,34138.229999999996,828.0,621.0,622,90698109.87000006,92.28299295938601,347,B
Kit Kat 4 Finger Milk 41.5g,34078.88,2754.0,111.09,1367,90732188.75000006,92.31766734287218,348,B
Powerade Naartjie 500ml,33661.840000000004,2358.0,1179.0,1310,90765850.59000006,92.3519173988896,349,B
Combo Deal 10,33518.21,531.0,0.0,195,90799368.80000006,92.38602131507785,350,B
Toplay Large 30's Eggs,33355.909999999996,523.0,941.4,309,90832724.71000005,92.41996009519241,351,B
MCC SIGNATURE HASH BROWN(CHOICE GRADE) 1.2KG,32827.98,303.0,363.59999999999997,205,90865552.69000006,92.45336172011662,352,B
Combo Deal 7,32662.64,304.0,0.0,92,90898215.33000006,92.48659511584532,353,B
Spiced Herbs & Paprika Espetadas P/Kg,32621.09,595.0,289.81,340,90930836.42000006,92.51978623551818,354,B
Spek Wors p/kg,32587.4,494.0,330.59,312,90963423.82000007,92.55294307648295,355,B
Eskort BBQ Bacon Biltong 50g,32223.23,1548.0,77.25,919,90995647.05000007,92.5857293838435,356,B
Eskort Fruity Chutney Bacon Biltong 50g,31810.9,1607.0,80.3,876,91027457.95000008,92.61809615603909,357,B
Value Hamper Combo,31624.66,162.0,0.0,81,91059082.61000007,92.65027343382697,358,B
Nestle Bar One 52g,31605.64,2487.0,127.05,1402,91090688.25000007,92.68243135925427,359,B
Renown Pork Banger 375g,31106.72,913.0,344.21999999999997,544,91121794.97000007,92.71408164641973,360,B
